                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.08678,                0.46377,                      1,                0.37872,                0.07012,              0.0033201,              0.0033201
                      1,                  0.081,                0.46377,                      1,                0.37678,               0.039988,              0.0065216,              0.0065216
                      2,                0.08018,                0.45894,                      1,                 0.3731,               0.009724,              0.0095912,              0.0095912
                      3,                0.07972,                0.40097,                      1,                0.37466,               0.009406,               0.009406,               0.009406
                      4,                0.07967,                0.42995,                      1,                0.37333,               0.009406,               0.009406,               0.009406
                      5,                0.07853,                0.43478,                      1,                0.37254,               0.009208,               0.009208,               0.009208
                      6,                0.07639,                0.39614,                      1,                0.37646,                0.00901,                0.00901,                0.00901
                      7,                0.07388,                0.43478,                      1,                0.36574,               0.008812,               0.008812,               0.008812
                      8,                0.07513,                0.43478,                      1,                0.36484,               0.008614,               0.008614,               0.008614
                      9,                0.07267,                0.37681,                      1,                0.37624,               0.008416,               0.008416,               0.008416
                     10,                 0.0696,                0.44928,                      1,                0.36311,               0.008218,               0.008218,               0.008218
                     11,                0.06615,                0.34783,                      1,                0.38015,                0.00802,                0.00802,                0.00802
                     12,                0.06361,                0.31884,                      1,                0.38088,               0.007822,               0.007822,               0.007822
                     13,                0.06195,                 0.3285,                      1,                0.37915,               0.007624,               0.007624,               0.007624
                     14,                0.05566,                0.37681,                      1,                0.37068,               0.007426,               0.007426,               0.007426
                     15,                0.04921,                0.23671,                      1,                0.39286,               0.007228,               0.007228,               0.007228
                     16,                 0.0417,                0.33816,                      1,                0.37844,                0.00703,                0.00703,                0.00703
                     17,                0.03874,                0.31884,                      1,                0.38565,               0.006832,               0.006832,               0.006832
                     18,                0.03239,                0.33816,                      1,                0.37816,               0.006634,               0.006634,               0.006634
                     19,                0.03345,                0.36715,                      1,                0.37498,               0.006436,               0.006436,               0.006436
                     20,                0.03013,                0.32367,                      1,                0.38358,               0.006238,               0.006238,               0.006238
                     21,                0.02567,                0.34783,                      1,                0.38197,                0.00604,                0.00604,                0.00604
                     22,                0.02426,                  0.343,                      1,                0.38078,               0.005842,               0.005842,               0.005842
                     23,                0.02109,                0.34783,                      1,                0.37785,               0.005644,               0.005644,               0.005644
                     24,                0.02496,                0.35749,                      1,                0.37763,               0.005446,               0.005446,               0.005446
                     25,                0.01648,                0.32367,                      1,                0.38563,               0.005248,               0.005248,               0.005248
                     26,                0.01585,                 0.3285,                      1,                0.38276,                0.00505,                0.00505,                0.00505
                     27,                0.01629,                0.32367,                      1,                0.38362,               0.004852,               0.004852,               0.004852
                     28,                0.01615,                 0.3285,                      1,                 0.3818,               0.004654,               0.004654,               0.004654
                     29,                0.01427,                0.31884,                      1,                0.38617,               0.004456,               0.004456,               0.004456
                     30,                0.01176,                0.31884,                      1,                0.38719,               0.004258,               0.004258,               0.004258
                     31,                0.01014,                0.30435,                      1,                0.38916,                0.00406,                0.00406,                0.00406
                     32,                0.00685,                0.30918,                      1,                0.38555,               0.003862,               0.003862,               0.003862
                     33,                0.00723,                0.36232,                      1,                0.38135,               0.003664,               0.003664,               0.003664
                     34,                0.00533,                 0.3285,                      1,                0.38612,               0.003466,               0.003466,               0.003466
                     35,                 0.0046,                 0.3285,                      1,                0.38426,               0.003268,               0.003268,               0.003268
                     36,                0.00761,                0.31884,                      1,                0.38356,                0.00307,                0.00307,                0.00307
                     37,                 0.0094,                0.29469,                      1,                0.38882,               0.002872,               0.002872,               0.002872
                     38,                0.00369,                0.27053,                      1,                0.39106,               0.002674,               0.002674,               0.002674
                     39,                0.00601,                0.30435,                      1,                0.39136,               0.002476,               0.002476,               0.002476
                     40,                0.00412,                0.31401,                      1,                0.38687,               0.002278,               0.002278,               0.002278
                     41,                0.00369,                  0.343,                      1,                0.38377,                0.00208,                0.00208,                0.00208
                     42,                0.00343,                0.35266,                      1,                0.37926,               0.001882,               0.001882,               0.001882
                     43,                0.00299,                 0.3285,                      1,                0.38296,               0.001684,               0.001684,               0.001684
                     44,                0.00294,                0.36232,                      1,                0.38246,               0.001486,               0.001486,               0.001486
                     45,                 0.0023,                0.31884,                      1,                0.38779,               0.001288,               0.001288,               0.001288
                     46,                0.00185,                0.33333,                      1,                 0.3854,                0.00109,                0.00109,                0.00109
                     47,                0.00486,                0.31884,                      1,                0.38591,               0.000892,               0.000892,               0.000892
                     48,                0.00401,                0.30918,                      1,                0.38826,               0.000694,               0.000694,               0.000694
                     49,                0.00205,                0.33333,                      1,                0.38471,               0.000496,               0.000496,               0.000496
