                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.08694,                0.43434,                      1,                0.36162,               0.070121,              0.0033199,              0.0033199
                      1,                 0.0794,                0.43434,                      1,                0.35918,               0.039792,              0.0063239,              0.0063239
                      2,                0.07838,                0.43434,                      1,                 0.3571,              0.0091323,              0.0089979,              0.0089979
                      3,                0.07855,                0.41919,                      1,                0.35313,               0.008515,               0.008515,               0.008515
                      4,                0.07753,                0.42929,                      1,                0.35968,               0.008515,               0.008515,               0.008515
                      5,                0.07558,                0.41919,                      1,                0.35282,                0.00802,                0.00802,                0.00802
                      6,                0.07304,                0.42424,                      1,                 0.3572,               0.007525,               0.007525,               0.007525
                      7,                 0.0719,                0.36869,                      1,                0.35986,                0.00703,                0.00703,                0.00703
                      8,                0.07116,                0.39899,                      1,                0.35143,               0.006535,               0.006535,               0.006535
                      9,                0.07078,                0.37879,                      1,                0.35723,                0.00604,                0.00604,                0.00604
                     10,                0.06696,                0.33838,                      1,                0.36184,               0.005545,               0.005545,               0.005545
                     11,                0.05767,                0.37374,                      1,                0.35658,                0.00505,                0.00505,                0.00505
                     12,                0.04862,                0.33838,                      1,                0.36261,               0.004555,               0.004555,               0.004555
                     13,                0.04382,                0.36364,                      1,                0.36471,                0.00406,                0.00406,                0.00406
                     14,                0.03765,                0.33838,                      1,                0.36871,               0.003565,               0.003565,               0.003565
                     15,                0.03069,                0.35859,                      1,                0.36103,                0.00307,                0.00307,                0.00307
                     16,                 0.0251,                0.33333,                      1,                0.36747,               0.002575,               0.002575,               0.002575
                     17,                0.01883,                0.34848,                      1,                0.36256,                0.00208,                0.00208,                0.00208
                     18,                0.01798,                0.33333,                      1,                0.36548,               0.001585,               0.001585,               0.001585
                     19,                0.01893,                0.38889,                      1,                0.35785,                0.00109,                0.00109,                0.00109
