                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.08544,                0.43434,                      1,                0.36175,               0.070121,              0.0033199,              0.0033199
                      1,                 0.0797,                0.43434,                      1,                0.35943,               0.039462,              0.0059946,              0.0059946
                      2,                0.07853,                0.43434,                      1,                0.35723,              0.0081436,              0.0080092,              0.0080092
                      3,                 0.0794,                0.44444,                      1,                0.35813,                0.00703,                0.00703,                0.00703
                      4,                 0.0783,                0.42424,                      1,                0.35883,                0.00703,                0.00703,                0.00703
                      5,                 0.0769,                0.44444,                      1,                0.35826,                0.00604,                0.00604,                0.00604
                      6,                0.07584,                0.39899,                      1,                0.35879,                0.00505,                0.00505,                0.00505
                      7,                0.07418,                0.42424,                      1,                0.35679,                0.00406,                0.00406,                0.00406
                      8,                0.07141,                0.44444,                      1,                0.35494,                0.00307,                0.00307,                0.00307
                      9,                0.06877,                0.41414,                      1,                0.35227,                0.00208,                0.00208,                0.00208
