                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.28781,                   0.01,                   0.05,                  1.028,                 0.0784,                 0.0024,                 0.0024
                      1,                0.28786,                   0.02,                   0.04,                  1.028,               0.055415,              0.0044149,              0.0044149
                      2,                0.28687,                   0.01,                   0.06,                 1.0279,               0.031935,              0.0059348,              0.0059348
                      3,                0.28705,                   0.01,                   0.04,                 1.0278,              0.0079597,              0.0069597,              0.0069597
                      4,                 0.2865,                   0.01,                   0.05,                 1.0279,                0.00604,                0.00604,                0.00604
                      5,                0.28593,                      0,                   0.05,                 1.0279,                0.00604,                0.00604,                0.00604
                      6,                0.28424,                      0,                   0.04,                 1.0279,                0.00505,                0.00505,                0.00505
                      7,                0.28369,                      0,                   0.05,                 1.0279,                0.00406,                0.00406,                0.00406
                      8,                0.28327,                      0,                   0.04,                 1.0279,                0.00307,                0.00307,                0.00307
                      9,                 0.2826,                   0.01,                   0.04,                 1.0279,                0.00208,                0.00208,                0.00208
